,src,dest,src_EQ,dest_EQ,energy,Ea
271,190,32,-678.465689116984,-678.46648949554,-678.464999842695,0.0006892742890158843
272,190,191,-678.465689116984,-678.465676526117,-678.4656864460401,2.670943899829581e-06
273,191,190,-678.465676526117,-678.465689116984,-678.4656864460401,-9.919923058987479e-06
274,104,192,-678.4270984973,-678.455035286851,-678.342091834103,0.08500666319696393
275,192,104,-678.455035286851,-678.4270984973,-678.342091834103,0.1129434527479134
276,45,193,-678.446733199745,-678.3736222468959,-678.36182266444,0.08491053530508452
277,193,45,-678.3736222468959,-678.446733199745,-678.36182266444,0.011799582455978452
278,101,194,-678.4468054819661,-678.461652849236,-678.427979847472,0.01882563449407826
279,194,101,-678.461652849236,-678.4468054819661,-678.427979847472,0.033673001763986576
280,194,195,-678.461652849236,-678.4400203244651,-678.437206541054,0.02444630818195037
281,195,194,-678.4400203244651,-678.461652849236,-678.437206541054,0.0028137834110566473
282,46,196,-678.440683571726,-678.470335625349,-678.364887211756,0.07579635997001333
283,196,46,-678.470335625349,-678.440683571726,-678.364887211756,0.10544841359296697
284,196,173,-678.470335625349,-678.386176190725,-678.379850670556,0.09048495479294161
285,173,196,-678.386176190725,-678.470335625349,-678.379850670556,0.006325520168957155
286,21,197,-678.427102170421,-678.426601150147,-678.419523761022,0.007578409399002339
287,197,21,-678.426601150147,-678.427102170421,-678.419523761022,0.007077389125015543
288,120,198,-678.467525840313,-678.467688893474,-678.467555512031,-2.9671718039026018e-05
289,198,120,-678.467688893474,-678.467525840313,-678.467555512031,0.00013338144299268606
290,198,199,-678.467688893474,-678.467664003148,-678.4656203981759,0.002068495298090056
291,199,198,-678.467664003148,-678.467688893474,-678.4656203981759,0.002043604972072899
292,90,200,-678.427422631415,-678.425383070542,-678.350644454376,0.07677817703893197
293,200,90,-678.425383070542,-678.427422631415,-678.350644454376,0.07473861616597333
294,31,157,-678.440354578408,-678.44646937885,-678.439071147566,0.001283430842022426
295,157,31,-678.44646937885,-678.440354578408,-678.439071147566,0.0073982312840144004
296,72,201,-678.427276616089,-678.490115137011,-678.3829481200611,0.044328496027901565
297,201,72,-678.490115137011,-678.427276616089,-678.3829481200611,0.1071670169499157
298,97,202,-678.4409611935299,-678.4474116736969,-678.438528925099,0.002432268430879958
299,202,97,-678.4474116736969,-678.4409611935299,-678.438528925099,0.008882748597898171
300,202,11,-678.4474116736969,-678.440503499338,-678.4379449486701,0.009466725026868517
301,11,202,-678.440503499338,-678.4474116736969,-678.4379449486701,0.0025585506679135506
302,56,23,-678.428539468591,-678.427477106368,-678.4253614142331,0.0031780543579316145
303,23,56,-678.427477106368,-678.428539468591,-678.4253614142331,0.0021156921349074764
304,75,99,-678.4278328755651,-678.4268337153769,-678.4254279941,0.0024048814650541317
305,99,75,-678.4268337153769,-678.4278328755651,-678.4254279941,0.001405721276910299
306,98,203,-678.447594555073,-678.445236583561,-678.373206452011,0.07438810306200594
307,203,98,-678.445236583561,-678.447594555073,-678.373206452011,0.07203013155003646
308,74,204,-678.446972781473,-678.447487259655,-678.445966489095,0.0010062923780651545
309,204,74,-678.447487259655,-678.446972781473,-678.445966489095,0.001520770559977791
310,16,63,-678.4471519018521,-678.447624614977,-678.445160451265,0.001991450587070176
311,63,16,-678.447624614977,-678.4471519018521,-678.445160451265,0.002464163712033951
312,157,17,-678.44646937885,-678.4469650122161,-678.44691546501,-0.00044608615996821754
313,17,157,-678.4469650122161,-678.44646937885,-678.44691546501,4.954720611749508e-05
314,50,205,-678.446424027647,-678.420723660318,-678.417171674346,0.029252353300989853
315,205,50,-678.420723660318,-678.446424027647,-678.417171674346,0.003551985971967042
316,124,206,-678.447169813625,-678.446906618585,-678.446895482798,0.00027433082698280487
317,206,124,-678.446906618585,-678.447169813625,-678.446895482798,1.113578696276818e-05
318,206,78,-678.446906618585,-678.447279095775,-678.445590756524,0.001315862061005646
319,78,206,-678.447279095775,-678.446906618585,-678.445590756524,0.0016883392510180784
320,88,35,-678.440780814481,-678.446585357104,-678.4387946113089,0.001986203172009482
321,35,88,-678.446585357104,-678.440780814481,-678.4387946113089,0.007790745795091425
322,35,25,-678.446585357104,-678.446391560998,-678.444695404428,0.0018899526760378649
323,25,35,-678.446391560998,-678.446585357104,-678.444695404428,0.001696156570005769
324,16,207,-678.4471519018521,-678.448578612244,-678.373200541174,0.07395136067805197
325,207,16,-678.448578612244,-678.4471519018521,-678.373200541174,0.07537807106996297
326,207,208,-678.448578612244,-678.445322404512,-678.4437074573381,0.0048711549059134995
327,208,207,-678.445322404512,-678.448578612244,-678.4437074573381,0.001614947173948167
328,167,209,-678.461621723515,-678.39021559711,-678.3848510163559,0.07677070715908485
329,209,167,-678.39021559711,-678.461621723515,-678.3848510163559,0.005364580754076087
330,85,16,-678.447517387707,-678.4471519018521,-678.445926451506,0.0015909362009551842
331,16,85,-678.4471519018521,-678.447517387707,-678.445926451506,0.0012254503460553678
332,16,4,-678.4471519018521,-678.447035884479,-678.446349065695,0.000802836157049569
333,4,16,-678.447035884479,-678.4471519018521,-678.446349065695,0.0006868187839472739
334,71,210,-678.446656723077,-678.440878983096,-678.441627685487,0.00502903759002038
335,210,71,-678.440878983096,-678.446656723077,-678.441627685487,-0.0007487023909789059
336,0,152,-678.467657663344,-678.46613393243,-678.459059068747,0.008598594596946896
337,152,0,-678.46613393243,-678.467657663344,-678.459059068747,0.007074863682987598
338,2,197,-678.427850644369,-678.426601150147,-678.42692143844,0.0009292059289691679
339,197,2,-678.426601150147,-678.427850644369,-678.42692143844,-0.00032028829298269557
340,197,21,-678.426601150147,-678.427102170421,-678.426093719347,0.0005074307999848315
341,21,197,-678.427102170421,-678.426601150147,-678.426093719347,0.001008451073971628
342,135,148,-678.386902543652,-678.38603886158,-678.384644162517,0.002258381134993215
343,148,135,-678.38603886158,-678.386902543652,-678.384644162517,0.0013946990629847278
344,148,211,-678.38603886158,-678.3840422385019,-678.384250011099,0.0017888504810343875
345,211,148,-678.3840422385019,-678.38603886158,-678.384250011099,-0.0002077725970366373
